10007;3132;200|
3553;-2533;200|
9720;514;200|
4478;4980;200|
---|
reef;rect;2030;780;7803;-1387;1.3962634015954636|
reef;rect;780;680;5769;-1191;0.767944870877505|
reef;rect;1830;430;3044;957;-1.1344640137963142|
reef;rect;1130;430;8905;4447;1.3962634015954636|
reef;circle;330;4250;3789;0.0|
reef;rect;1030;530;8331;2663;0.9948376736367678|
reef;rect;1030;430;6389;4147;-0.3839724354387525|
reef;rect;1530;530;2653;3073;0.41887902047863906|
reef;circle;280;5587;1113;0.0|
reef;circle;480;2992;-1009;0.0|
reef;rect;1030;580;4726;-2103;0.8726646259971648|
---|
8072;-2541|
7534;-233|
7156;-2379|
8450;-394|
5723;-1813|
5815;-570|
5146;-1216|
6392;-1167|
2363;1732|
3726;182|
2889;1977|
3200;-63|
9079;3766|
8730;5127|
8508;3867|
9302;5027|
4780;3789|
4775;3863|
4760;3935|
4735;4005|
4700;4070|
4656;4130|
4605;4183|
4547;4228|
4483;4265|
4414;4293|
4342;4311|
4269;4319|
4195;4316|
4122;4303|
4052;4280|
3985;4248|
3924;4207|
3869;4157|
3822;4101|
3782;4038|
3752;3970|
3732;3899|
3722;3826|
3722;3752|
3732;3679|
3752;3608|
3782;3540|
3822;3478|
3869;3421|
3924;3371|
3985;3330|
4052;3298|
4122;3275|
4195;3262|
4269;3259|
4342;3267|
4414;3285|
4483;3313|
4547;3350|
4605;3395|
4656;3448|
4700;3508|
4735;3573|
4760;3643|
4775;3715|
8295;1983|
8367;3343|
7725;2353|
8938;2972|
5733;4099|
7044;4195|
5950;4637|
6827;3657|
2024;2421|
3282;3725|
1748;3042|
3559;3104|
6067;1113|
6062;1180|
6048;1246|
6025;1309|
5994;1368|
5954;1422|
5908;1470|
5855;1511|
5797;1545|
5735;1570|
5670;1586|
5603;1593|
5537;1591|
5471;1579|
5407;1558|
5347;1529|
5291;1492|
5241;1447|
5198;1395|
5163;1339|
5136;1277|
5117;1213|
5108;1147|
5108;1080|
5117;1013|
5136;949|
5163;888|
5198;831|
5241;780|
5291;735|
5347;698|
5407;668|
5471;648|
5537;636|
5603;634|
5670;641|
5735;657|
5797;682|
5855;715|
5908;757|
5954;805|
5994;859|
6025;918|
6048;981|
6062;1046|
3672;-1009|
3666;-914|
3646;-822|
3613;-733|
3569;-649|
3513;-572|
3447;-504|
3372;-445|
3290;-398|
3202;-362|
3110;-339|
3016;-330|
2921;-333|
2828;-349|
2737;-379|
2652;-420|
2574;-473|
2503;-537|
2442;-609|
2392;-690|
2353;-777|
2327;-868|
2314;-962|
2314;-1057|
2327;-1150|
2353;-1242|
2392;-1328|
2442;-1409|
2503;-1481|
2574;-1545|
2652;-1598|
2737;-1640|
2828;-1669|
2921;-1685|
3016;-1689|
3110;-1679|
3202;-1656|
3290;-1620|
3372;-1573|
3447;-1514|
3513;-1446|
3569;-1369|
3613;-1286|
3646;-1197|
3666;-1104|
4627;-2789|
4826;-1416|
4067;-2320|
5385;-1886|
---|
5816;-549|
2343;1739|
2896;1997|
8363;3364|
---|
1435;770;0.6731984257692536|
1538;866;0.8175360276210941|
1634;969;0.8260961960376434|
1746;1090;0.8260961960376434|
1858;1211;0.8260961960376434|
1970;1333;0.8260961960376434|
2065;1436;0.8260961960376434|
2161;1540;0.8275664447697373|
2272;1662;0.8275664447697373|
2388;1762;0.6031669695133057|
2531;1843;0.4327979708310259|
2682;1910;0.39736486276449656|
2834;1973;0.3847120770280188|
2991;2024;0.2464165081851466|
3151;2064;0.24435696489298664|
3311;2104;0.24435696489298664|
3471;2144;0.24435696489298664|
3631;2184;0.24435696489298664|
3791;2224;0.24435696489298664|
3951;2264;0.24435696489298664|
4112;2304;0.24435696489298664|
4272;2344;0.24435696489298664|
4432;2383;0.24435696489298664|
4592;2423;0.24435696489298664|
4752;2463;0.24435696489298664|
4912;2503;0.24435696489298664|
5072;2543;0.24435696489298664|
5232;2583;0.24435696489298664|
5392;2623;0.24435696489298664|
5552;2663;0.24435696489298664|
5713;2703;0.24435696489298664|
5873;2743;0.24435696489298664|
6033;2783;0.24435696489298664|
6193;2823;0.24435696489298664|
6353;2863;0.24435696489298664|
6513;2902;0.24435696489298664|
6673;2942;0.24435696489298664|
6833;2982;0.24435696489298664|
6993;3022;0.24435696489298664|
7153;3062;0.24435696489298664|
7314;3102;0.24435696489298664|
7474;3142;0.24435696489298664|
7634;3182;0.24435696489298664|
7794;3222;0.24435696489298664|
7954;3262;0.24435696489298664|
8114;3302;0.24435696489298664|
8274;3342;0.24435696489298664|
8425;3362;0.01995748963657747|
